rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,Num Cands,Num Seats
Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,32.0,1.0
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,2,32,32,32,32,32,,
32,32,32,32,32,4,32,32,32,32,32,32,32,32,32,3,32,32,32,2,1,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,1,32,32,32,32,32,32,32,32,4,32,32,32,32,2,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,6,32,32,32,32,32,32,1,2,32,32,32,7,32,32,4,5,32,32,32,32,32,32,3,32,32,32,32,32,,
12,14,32,1,32,10,32,32,32,32,3,15,32,8,32,32,32,32,9,6,7,11,32,2,32,32,4,5,32,13,32,15,,
32,32,32,3,32,4,32,32,32,32,2,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,5,32,32,1,32,32,,
32,32,32,32,32,32,32,32,32,32,3,32,32,32,32,2,32,32,32,1,32,32,4,32,32,32,32,32,32,32,32,32,,
Skipped,14,Skipped,15,31,2,Skipped,Skipped,12,Skipped,6,3,13,7,8,Skipped,Skipped,9,Skipped,5,Skipped,32,Skipped,10,Skipped,Skipped,4,Skipped,Skipped,11,1,Skipped,,
32,2,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,,
10,4,32,6,32,9,32,32,12,32,3,13,7,32,32,14,32,1,11,32,32,8,32,32,32,32,5,32,32,2,15,32,,
Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,4,Skipped,,
32,32,32,1,3,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,2,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,2,32,32,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,32,4,32,32,32,32,32,32,32,1,32,32,32,32,32,2,32,32,32,32,32,32,32,32,5,32,32,3,32,32,,
Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,8,2,9,Skipped,Skipped,Skipped,Skipped,Skipped,7,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,,
24,7,8,27,32,13,25,32,10,26,3,1,14,21,12,22,20,23,6,2,4,11,19,18,17,32,5,15,32,9,32,16,,
32,32,32,32,32,32,32,6,32,32,2,3,32,32,32,32,32,32,32,4,32,15,32,32,32,32,1,5,32,32,32,32,,
Skipped,6,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,7,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,1,2,3,9,Skipped,Skipped,Skipped,11,Skipped,Skipped,8,Skipped,Skipped,,
19,26,24,27,13,18,20,22,7,25,4,10,30,6,21,11,15,9,28,12,31,23,5,29,1,17,2,8,14,3,16,4,,
32,32,32,2,32,32,32,32,32,32,4,32,8,5,32,32,32,9,3,32,1,32,32,32,32,32,6,32,32,7,32,32,,
32,10,32,5,32,32,32,32,32,32,6,32,32,32,32,32,32,9,7,1,2,32,4,32,32,32,3,32,32,32,32,8,,
32,4,32,6,32,32,32,32,32,32,3,32,10,32,32,32,32,7,8,2,32,32,5,32,32,32,1,9,32,32,32,32,,
32,3,32,32,32,32,5,32,32,32,32,32,5,32,32,32,4,1,32,32,32,32,32,5,32,32,2,32,32,32,32,32,,
22,23,Skipped,4,28,8,12,30,3,26,19,17,6,25,29,10,17,7,14,16,1,5,2,11,21,32,20,24,27,9,13,15,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,,
