rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,Num Cands,Num Seats
40,40,40,40,40,40,40,7,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,5,40,40,40,40,40,40,40,40,40,3,1,40,6,40,2,40,40.0,1.0
40,40,1,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,,
40,11,15,40,40,40,40,40,40,40,40,40,18,40,1,4,16,40,40,40,8,40,13,40,12,40,14,40,7,6,3,40,40,10,5,40,17,40,9,2,,
40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,3,40,40,40,40,40,40,40,40,40,4,,
40,38,38,40,38,40,38,38,40,38,38,38,38,38,38,2,40,38,38,40,38,38,1,38,38,40,38,40,40,40,10,38,38,4,40,40,38,38,38,38,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
5,40,4,40,40,40,40,40,40,40,40,40,3,40,40,1,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,,
8,40,7,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,40,1,40,40,40,4,40,40,2,40,40,40,40,6,5,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,6,40,40,5,40,40,40,40,40,1,40,40,40,40,40,40,40,40,3,4,40,,
2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,3,40,1,40,40,40,,
40,40,40,40,40,40,40,40,40,4,40,40,2,40,40,40,40,40,40,5,40,40,40,40,40,40,3,40,40,40,40,40,40,40,1,40,40,40,40,40,,
40,40,6,40,5,40,40,40,40,3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,40,1,2,40,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,40,40,40,40,40,40,2,40,40,40,40,40,40,1,40,40,40,40,3,,
40,37,40,40,40,40,40,17,40,40,40,40,6,9,3,10,40,40,40,2,40,40,26,40,40,40,13,40,40,40,1,40,40,32,5,40,15,40,7,40,,
12,34,6,37,30,30,12,30,32,1,7,30,34,9,38,31,30,30,30,30,4,30,3,8,30,30,30,12,14,40,35,30,30,36,30,2,5,39,30,30,,
40,6,40,40,40,40,40,2,40,40,40,40,40,40,4,40,40,40,40,40,40,40,40,40,40,40,5,40,40,40,40,40,40,40,1,40,40,40,3,40,,
1,29,10,39,29,29,40,29,40,6,29,29,29,40,29,2,40,29,40,40,4,29,17,16,39,39,6,29,18,40,29,40,40,6,28,17,7,39,5,3,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,1,40,,
40,1,40,40,40,40,40,2,40,3,40,40,2,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,3,40,,
40,40,40,40,7,40,40,40,40,40,40,40,40,5,40,40,40,40,40,40,3,40,40,1,40,40,40,40,8,2,40,40,40,40,40,6,40,40,40,4,,
40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,1,40,40,40,40,40,40,40,40,,
40,2,2,40,40,40,40,40,40,40,40,40,5,40,40,1,40,40,40,40,4,2,40,40,40,40,6,40,40,40,40,40,40,7,40,40,40,3,40,3,,
17,14,22,40,3,25,40,16,7,21,40,40,4,26,6,1,27,18,40,40,2,40,24,40,23,40,10,40,19,12,11,40,40,13,20,40,15,8,9,5,,
39,2,39,39,39,39,39,4,39,39,39,39,5,39,39,39,39,39,39,39,39,39,39,39,39,39,40,39,1,39,39,39,39,39,39,39,39,39,39,3,,
40,10,40,40,40,40,40,4,40,40,2,40,40,8,1,40,40,40,40,9,40,40,3,40,40,40,6,40,7,40,5,40,40,40,40,40,40,40,40,40,,
40,40,40,40,40,40,40,1,23,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,1,40,40,,
27,30,7,23,11,34,39,14,15,19,32,13,2,6,4,26,8,29,17,40,31,9,33,16,28,22,1,10,18,3,24,38,36,25,20,12,21,37,5,35,,
40,40,1,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,,
40,6,4,40,40,40,40,9,40,40,40,40,10,40,40,1,40,40,40,40,5,40,40,40,3,40,40,40,40,40,40,40,40,40,40,40,2,8,40,7,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,1,40,40,,
28,31,21,22,35,30,2,32,19,8,23,18,15,24,10,1,12,34,40,38,9,14,11,13,25,26,17,29,3,7,39,36,37,27,4,20,6,33,16,5,,
40,40,4,40,40,40,40,40,40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,1,40,5,40,40,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,2,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,,
40,40,8,40,11,40,40,40,40,40,40,40,40,40,3,7,7,40,40,40,6,12,40,1,40,40,4,12,40,40,40,40,40,40,40,40,10,2,9,5,,
10,5,6,33,26,24,29,14,11,28,39,38,7,17,12,1,34,21,22,8,3,25,30,32,9,20,19,27,31,40,18,35,37,2,16,36,4,13,15,23,,
40,22,9,40,40,27,40,40,40,40,40,40,4,40,3,36,1,40,40,40,8,40,40,40,40,40,40,40,40,40,40,40,40,14,2,40,36,40,5,40,,
40,6,40,40,40,40,40,40,40,40,40,40,40,7,40,3,40,40,40,40,10,40,1,40,8,40,40,40,40,9,40,40,40,4,40,40,2,5,40,40,,
40,40,4,40,40,40,40,40,40,40,40,40,7,40,40,2,40,40,40,40,40,40,40,40,40,40,5,40,40,40,40,40,40,3,1,40,8,40,6,40,,
3,40,40,40,40,40,2,40,40,40,40,40,7,40,40,8,40,40,40,40,5,40,9,40,40,40,40,40,6,40,40,40,40,40,4,40,40,40,1,40,,
10,40,3,40,7,40,40,9,16,40,40,40,15,40,2,17,40,12,40,40,40,40,5,14,18,40,40,40,6,40,8,40,40,11,40,40,13,40,4,1,,
40,40,40,40,40,40,3,40,40,40,40,40,40,40,40,4,40,40,40,40,40,40,2,40,40,40,40,40,40,40,40,40,40,40,1,40,5,40,40,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,4,40,40,40,40,40,40,3,40,3,40,40,40,5,40,2,40,40,40,40,40,1,40,2,40,40,40,,
