rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,numSeats,numCands
3,6,Skipped,8,2,Skipped,4,Skipped,1,7,Skipped,5,1.0,12.0
Skipped,6,9,7,2,Skipped,3,8,5,4,Skipped,1,,
Skipped,1,Skipped,5,Skipped,Skipped,3,Skipped,2,4,Skipped,Skipped,,
Skipped,Skipped,Skipped,4,1,3,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
Skipped,2,Skipped,Skipped,3,Skipped,5,Skipped,4,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,5,1,6,Skipped,Skipped,3,7,4,2,,
Skipped,3,4,1,8,6,7,Skipped,5,2,Skipped,Skipped,,
Skipped,5,Skipped,4,Skipped,Skipped,2,Skipped,1,3,Skipped,6,,
7,6,Skipped,1,4,5,2,3,Skipped,Skipped,Skipped,Skipped,,
Skipped,1,Skipped,7,3,6,4,2,5,Skipped,Skipped,Skipped,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
Skipped,2,Skipped,7,6,Skipped,5,8,1,4,Skipped,3,,
1,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,3,Skipped,Skipped,,
9,6,Skipped,5,1,7,2,10,8,3,4,11,,
4,8,11,1,3,7,2,12,6,5,10,9,,
Skipped,3,1,Skipped,Skipped,Skipped,5,Skipped,2,4,Skipped,Skipped,,
3,4,10,2,1,5,6,Skipped,9,7,8,Skipped,,
1,Skipped,Skipped,3,2,9,5,12,4,11,Skipped,Skipped,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,4,Skipped,3,1,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,1,Skipped,Skipped,3,2,4,Skipped,Skipped,Skipped,,
7,5,Skipped,1,4,8,Skipped,6,2,3,Skipped,Skipped,,
Skipped,Skipped,Skipped,5,Skipped,Skipped,1,Skipped,2,3,4,Skipped,,
Skipped,Skipped,Skipped,2,Skipped,Skipped,3,Skipped,4,1,Skipped,Skipped,,
7,5,6,8,11,Skipped,1,3,2,4,Skipped,10,,
Skipped,2,4,Skipped,6,Skipped,Skipped,8,1,3,7,5,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,,
10,7,9,Skipped,1,4,2,3,5,8,Skipped,6,,
Skipped,6,5,Skipped,1,7,Skipped,Skipped,4,8,2,3,,
3,9,Skipped,6,1,8,5,7,2,Skipped,10,4,,
Skipped,9,8,7,3,Skipped,2,6,4,5,Skipped,1,,
1,Skipped,Skipped,Skipped,Skipped,2,Skipped,3,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,2,Skipped,3,Skipped,,
2,?,?,?,1,3,4,?,?,?,12,?,,
